ID,Lat,Lon,DetCov1,Elevation,Depth,Length,Width,Area,,,Wetland Type,Other,Beaver Influenced,NOTES
CO-11016,0.205072,-105.172723,,1580,2.00,,,,Pond,Permanent,Artificial,2008,N/A,
CO-11016,0.205072,-105.172723,,1580,,,,,Pond,Permanent,Artificial,2008,N/A,
CO-11016,0.205072,-105.172723,,1580,,,,,Pond,Permanent,Artificial,2008,N/A,
CO-Mons,39.93517,-105.17326,,1745,2.00,95.00,,659.00,Pond,Temporary,Artificial,2011,N/A,
CO-Mons,39.93517,-105.17326,,1745,0.30,91.00,,476.00,Pond,Temporary,Artificial,2011,N/A,
12678,39.94295,-105.17326,,1744,1.00,26.00,,858.00,Pond,Temporary,Artificial,2007,N/A,
12678,39.94295,-105.17326,,1744,,93.00,,364.00,Pond,Temporary,Artificial,2007,N/A,
12678,39.94295,-105.17326,,1744,1.00,159.41,,969.00,Pond,Temporary,Artificial,2010,N/A,
12678,39.94295,-105.17326,,1744,1.00,305.78,,1395.40,Pond,Temporary,Artificial,2010,N/A,
12678,39.94295,-105.17326,,1744,1.00,103.33,,312.80,Pond,Temporary,Artificial,2010,N/A,
12678,39.94295,-105.17326,,1744,,10.00,,364.00,Pond,Temporary,Artificial,2011,N/A,
12678,39.94295,-105.17326,,1744,0.30,,,,Pond,Temporary,Artificial,2011,N/A,
CO-CUBE,39.96083,-105.17553,,1699,5.00,274.00,,1071.00,Pond,Semi-permanent,Artificial,2011,N/A,
CO-CUBE,39.96083,-105.17553,,1699,2.00,117.00,,1027.00,Pond,Semi-permanent,Artificial,2011,N/A,
CO-10963,40.214486,-105.178735,,1593,,,,,Pond,Semi-permanent,Artificial,2007,N/A,
CO-FUZZ,39.95929,-105.17905,,,6.00,355.00,,2488.00,,,,2011,N/A,
CO-FUZZ,39.95929,-105.17905,,,,,,,,,,2011,N/A,
9487,39.818,-105.18507,,1715,,,,2475.00,Pond,Permanent,Artificial,2009,N/A,
10983,40.21166,-105.1852,,,,,,3625.00,Pond,Permanent,Artificial,2009,N/A,
10983,40.21166,-105.1852,,,2.00,,,,Pond,Permanent,Artificial,2009,N/A,
9511,39.81544,-105.18605,,1722,,,,3656.00,Pond,Permanent,Artificial,2009,N/A,
CO-SAW16,40.042296,-105.189041,,1569,,,,28028.00,Pond,Permanent,Artificial,2008,N/A,
CO-PUMP,40.000581,-105.189214,,1610,,,,1501.00,Pond,Permanent,Other,2008,N/A,
